showid,name,season,release_year,episode_count
80188471,She was pretty,Season 1,2015,16
80188351,Reply 1988,Season 1,2015,20
80188354,Oh My Venus,Season 1,2015,16
80191008,Parasyte: The Maxim,Season 1,2014,24
80192612,Young Sheldon,Season 1,2017,22
80192612,Young Sheldon,Season 2,2018,22
80192612,Young Sheldon,Season 3,2019,21
80192612,Young Sheldon,Season 4,2020,18
80198001,Strong Girl Bong-soon,Season 1,2017,16
80211787,Strongest Deliveryman,Season 1,2017,16
80214405,A Korean Odyssey,Season 1,2017,20
80214406,Prison Playbook,Season 1,2017,16
80218200,Titans,Season 1,2018,11
80218200,Titans,Season 2,2019,13
80218200,Titans,Season 3,2021,13
80218200,Titans,Season 4,2023,12
80133311,Riverdale,Season 1,2017,13
80133311,Riverdale,Season 2,2017,22
80133311,Riverdale,Season 3,2018,22
80133311,Riverdale,Season 4,2019,19
80133311,Riverdale,Season 5,2021,19
80133311,Riverdale,Season 6,2021,22
80133311,Riverdale,Season 7,2023,20
80238738,Yellowstone,Season 1,2018,9
80238738,Yellowstone,Season 2,2019,10
80238738,Yellowstone,Season 3,2020,10
80021955,Better Call Saul,Season 1,2015,10
80021955,Better Call Saul,Season 2,2016,10
80021955,Better Call Saul,Season 3,2017,10
80021955,Better Call Saul,Season 4,2018,10
80021955,Better Call Saul,Season 5,2020,10
80021955,Better Call Saul,Season 6,2022,13
80986896,Love in the Moonlight,Season 1,2016,18
80995578,Hajime no Ippo: The Fighting!,Season 1,2001,76
80998941,Dr. Romantic,Season 1,2016,21
80998941,Dr. Romantic,Season 2,2020,16
80998943,Beautiful Gong Shim,Season 1,2016,20
80999059,Birth of a Beauty,Season 1,2014,21
80999060,Pinocchio,Season 1,2014,20
81012510,Guardian: The Lonely and Great God,Season 1,2016,16
81012551,The Legend of the Blue Sea,Season 1,2016,20
80241181,New Amsterdam,Season 1,2018,22
80241181,New Amsterdam,Season 2,2019,18
80241181,New Amsterdam,Season 3,2021,14
81025403,The Inmate,Season 1,2018,13
81028712,That Time I Got Reincarnated as a Slime,Season 1,2018,24
81028712,That Time I Got Reincarnated as a Slime,Season 2,2021,24
81028712,That Time I Got Reincarnated as a Slime,Visions of Coleus,2023,3
81029905,Misty,Season 1,2018,16
81029990,Beauty Inside,Season 1,2018,16
81030008,Clean With Passion For Now,Season 1,2018,16
81030026,My ID is Gangnam Beauty,Season 1,2018,16
81030062,SKY Castle,Season 1,2018,20
81030241,What's Wrong with Secretary Kim,Season 1,2018,16
81033645,My Sassy Girl,Season 1,2017,16
81028895,Arthdal Chronicles,Season 1,2019,18
70187741,RuPaul's Drag Race,Season 12,2020,14
70187741,RuPaul's Drag Race,Season 13,2021,16
81040957,RuPaul’s Drag Race: All Stars,Season 5,2020,8
81040957,RuPaul’s Drag Race: All Stars,Season 6,2021,12
80113701,The Good Place,Season 1,2016,13
80113701,The Good Place,Season 2,2017,12
80113701,The Good Place,Season 3,2018,12
80113701,The Good Place,Season 4,2019,13
70177057,The Walking Dead,Season 1,2010,6
70177057,The Walking Dead,Season 2,2011,13
70177057,The Walking Dead,Season 3,2012,16
70177057,The Walking Dead,Season 4,2013,16
70177057,The Walking Dead,Season 5,2014,16
70177057,The Walking Dead,Season 6,2015,16
70177057,The Walking Dead,Season 7,2016,16
70177057,The Walking Dead,Season 8,2017,16
70177057,The Walking Dead,Season 9,2018,16
70177057,The Walking Dead,Season 10,2019,22
70177057,The Walking Dead,Season 11,2021,24
81080523,Boruto: Naruto Next Generations,Academy Entrance,2017,15
81080523,Boruto: Naruto Next Generations,Sarada Uchiha,2017,9
81080523,Boruto: Naruto Next Generations,Field Trip,2017,8
81080523,Boruto: Naruto Next Generations,Academy Graduation,2017,7
81080523,Boruto: Naruto Next Generations,Byakuya Gang,2018,11
81080523,Boruto: Naruto Next Generations,Chunin Exam,2018,20
81080523,Boruto: Naruto Next Generations,Mitsuki's Disappearance,2017,22
81080523,Boruto: Naruto Next Generations,Naruto Shinden,2017,13
81080523,Boruto: Naruto Next Generations,Konoha Shinden: The Steam Ninja Scrolls,2017,10
81080523,Boruto: Naruto Next Generations,Time Slip,2017,21
81080523,Boruto: Naruto Next Generations,Mujina Gang,2017,20
81091393,Demon Slayer: Kimetsu no Yaiba,"Tanjiro Kamado, Unwavering Resolve Arc",2019,26
81091393,Demon Slayer: Kimetsu no Yaiba,Mugen Train Arc,2021,7
81091393,Demon Slayer: Kimetsu no Yaiba,Entertainment District Arc,2021,11
81091393,Demon Slayer: Kimetsu no Yaiba,Swordsmith Village Arc,2023,11
81093244,My Golden Life,Season 1,2017,52
80176842,Men on a Mission,2020,2020,7
80176842,Men on a Mission,2021,2021,51
80176842,Men on a Mission,2022,2022,52
80176842,Men on a Mission,2023,2023,45
81142594,Tunnel,Season 1,2019,16
81142595,Voice,Season 1,2019,16
81144216,Blood Ties,Season 1,2022,74
81164143,Sons of the Caliphate,Season 1,2016,13
81164143,Sons of the Caliphate,Season 2,2017,13
81167570,El final del paraíso,Season 1,2019,90
81205812,Her Private Life,Season 1,2019,16
81205849,Hotel Del Luna,Season 1,2019,16
81224991,The Secret Life of My Secretary,Season 1,2019,16
81225012,The Fiery Priest,Season 1,2019,20
80024057,How to Get Away With Murder,Season 1,2014,15
80024057,How to Get Away With Murder,Season 2,2015,15
80024057,How to Get Away With Murder,Season 3,2016,15
80024057,How to Get Away With Murder,Season 4,2017,15
80024057,How to Get Away With Murder,Season 5,2018,15
80024057,How to Get Away With Murder,Season 6,2019,15
80090673,Haikyu!!,Haikyu!!,2014,25
80090673,Haikyu!!,Haikyu!! II,2015,25
80090673,Haikyu!!,Haikyu!! Karasuno High School vs Shiratorizawa Academy,2016,10
80090673,Haikyu!!,Haikyu!! TO THE TOP,2020,25
81241510,Killer Soup,Season 1,2024,8
81246530,Barbie: It Takes Two,Season 1,2022,13
81246530,Barbie: It Takes Two,Season 2,2022,13
81215627,Chainsaw Man,Season 1,2022,12
81249833,VINLAND SAGA,Season 1,2019,24
81249833,VINLAND SAGA,Season 2,2023,24
81228402,Below Deck,Season 5,2012,14
81228402,Below Deck,Season 6,2012,16
81267691,My Mister,Season 1,2018,16
81271131,Alone,Season 5,2018,12
81271131,Alone,Season 6,2019,11
81271131,Alone,Season 7,2020,12
81271893,Oh My Baby,Season 1,2020,16
81278456,Jujutsu Kaisen,Season 1,2020,24
81278456,Jujutsu Kaisen,Season 2,2023,23
81061735,Doctor Prisoner,Season 1,2019,16
81283687,When My Love Blooms,Season 1,2020,16
80013249,Wentworth,Season 1,2013,10
80013249,Wentworth,Season 2,2014,12
80013249,Wentworth,Season 3,2015,12
80013249,Wentworth,Season 4,2016,12
80013249,Wentworth,Season 5,2017,12
80013249,Wentworth,Season 6,2018,12
80013249,Wentworth,Season 7,2019,10
80013249,Wentworth,Season 8,2020,20
81296695,Diary of a Prosecutor,Season 1,2019,16
81296714,When the Weather Is Fine,Season 1,2020,16
81287006,The World of the Married,Season 1,2020,16
81323914,The Good Detective,Season 1,2020,16
81323914,The Good Detective,Season 2,2022,16
81330960,The Smurfs,Season 1,2021,52
81343862,Doctor John,Season 1,2019,16
81343880,Hot Stove League,Season 1,2019,16
81350913,18 Again,Season 1,2020,16
81357268,Flower of Evil,Season 1,2020,16
81357286,Tale of the Nine Tailed,Season 1,2020,16
81357304,Awaken,Season 1,2020,16
81368054,Once Again,Season 1,2020,50
80987039,Mushoku Tensei: Jobless Reincarnation,Season 1,2021,24
80987039,Mushoku Tensei: Jobless Reincarnation,Season 2,2023,13
81394495,She Would Never Know,Season 1,2021,16
80238012,Black Clover,Black Clover,2017,51
80238012,Black Clover,Black Clover II,2018,51
80238012,Black Clover,Black Clover III,2018,52
80238012,Black Clover,Black Clover IV,2020,16
81409869,Monster,Season 1,2004,74
81410117,Pretty Proofreader,Season 1,2016,10
81410197,The Queen's Classroom,Season 1,2005,11
81415953,I Need Romance,Season 1,2021,16
81415957,Remember You,Season 1,2021,16
81415962,Bad Guys,Season 1,2021,12
81416176,The Miracle of Teddy Bear,Season 1,2021,16
70171946,Heartland,Season 7,2013,18
70171946,Heartland,Season 8,2014,18
70171946,Heartland,Season 9,2015,18
70171946,Heartland,Season 10,2016,18
70171946,Heartland,Season 11,2017,18
70171946,Heartland,Season 12,2018,11
70171946,Heartland,Season 13,2019,10
70171946,Heartland,Season 14,2021,10
70171946,Heartland,Season 15,2021,10
70171946,Heartland,Season 16,2022,15
81437302,The Secret of the Greco Family,Season 1,2022,9
81437733,Beyond Evil,Season 1,2021,16
80135674,My Hero Academia,Season 1,2016,13
80135674,My Hero Academia,Season 2,2017,25
80135674,My Hero Academia,Season 3,2018,25
80135674,My Hero Academia,Season 4,2019,27
80135674,My Hero Academia,Season 5,2021,27
80135674,My Hero Academia,Season 6,2022,26
81442520,Tokyo Revengers,Season 1,2021,24
81443738,That Girl Lay Lay,Season 1,2021,13
81443738,That Girl Lay Lay,Season 2,2023,13
81444722,My Dear Exes,Season 1,2021,10
81449940,Boy Swallows Universe,Season 1,2024,7
81450464,Kotaro Lives Alone,Season 1,2021,10
81459931,One of Us Is Lying,Season 1,2022,8
81459931,One of Us Is Lying,Season 2,2022,8
70217931,The Real Housewives of Beverly Hills,Season 6,2022,24
70217931,The Real Housewives of Beverly Hills,Season 7,2022,21
70217931,The Real Housewives of Beverly Hills,Season 8,2022,22
81474612,Change Days,Season 1,2022,16
81477427,Last Madame,Season 1,2019,12
81477445,JAPAN SINKS: People of Hope,Season 1,2021,10
81477518,Days of Disaster,Season 1,2015,5
81478663,Champion,Season 1,2024,8
80104434,Animal Kingdom,Season 1,2016,10
80104434,Animal Kingdom,Season 2,2017,13
80104434,Animal Kingdom,Season 3,2018,13
80104434,Animal Kingdom,Season 4,2019,13
